1,"Zlatan Ibrahimovic
FORWARD","$7,200,000"
2,"Michael Bradley
MIDFIELDER","$6,428,571"
3,"Jozy Altidore
FORWARD","$6,332,250"
4,"Carlos Vela
FORWARD","$6,300,000"
5,"Bastian Schweinsteiger
MIDFIELDER","$5,600,000"
6,"Ignacio Piatti
MIDFIELDER","$4,443,333"
7,"Alejandro Pozuelo
MIDFIELDER","$3,800,000"
8,"Wayne Rooney
FORWARD","$3,507,500"
9,"Josef Martinez
FORWARD","$3,058,333"
10,"Nicolas Lodeiro
MIDFIELDER","$2,502,500"
11,"Nani
FORWARD","$2,486,250"
12,"Tim Howard
GOALKEEPER","$2,475,000"
13,"Diego Valeri
MIDFIELDER","$2,420,000"
14,"Carles Gil
FORWARD","$2,337,500"
15,"Gyasi Zardes
FORWARD","$2,311,667"
16,"Marco Fabian
MIDFIELDER","$2,274,087"
17,"Nicolas Gaitan
MIDFIELDER","$2,197,504"
18,"Albert Rusnack
MIDFIELDER","$2,001,667"
19,"Maximiliano Moralez
MIDFIELDER","$2,000,000"
,"Jonathan dos Santos
MIDFIELDER","$2,000,000"
21,"Fanendo Adi
FORWARD","$1,965,008"
22,"Nemanja Nikolic
FORWARD","$1,906,333"
23,"Romain Alessandrini
MIDFIELDER","$1,869,996"
24,"Raul Ruidiaz
FORWARD","$1,800,000"
25,"Darwin Quintero
FORWARD","$1,750,000"
26,"Johnny Russell
MIDFIELDER","$1,700,000"
27,"Felipe Gutierrez
MIDFIELDER","$1,650,000"
28,"Vako Qazaishvili
MIDFIELDER","$1,604,042"
29,"Kenny Saief
MIDFIELDER","$1,511,767"
30,"Dom Dwyer
FORWARD","$1,503,333"
31,"Ezequiel Barco
MIDFIELDER","$1,425,000"
32,"Saphir Taider
MIDFIELDER","$1,400,000"
33,"Aleksandar Katai
MIDFIELDER","$1,380,333"
34,"Bradley Wright-Phillips
FORWARD","$1,380,000"
35,"Sebastian Blanco
MIDFIELDER","$1,375,008"
36,"Andre Horta
MIDFIELDER","$1,277,500"
37,"Brian Fernandez
MIDFIELDER","$1,275,800"
38,"Alejandro Bedoya
MIDFIELDER","$1,266,250"
39,"Mauro Manotas
FORWARD","$1,245,050"
40,"Aljaz Struna
DEFENDER","$1,210,000"
41,"David Accam
FORWARD","$1,137,920"
42,"Sacha Kljestan
MIDFIELDER","$1,100,000"
,"Federico Higuain
FORWARD","$1,100,000"
44,"Victor Rodriguez
MIDFIELDER","$1,087,500"
45,"Damir Kreilach
MIDFIELDER","$1,082,102"
46,"Maximiliano Urruti
FORWARD","$1,071,000"
47,"Jorgen Skjelvik
DEFENDER","$1,066,667"
48,"Krisztian Nemeth
FORWARD","$1,063,667"
49,"Diego Rossi
FORWARD","$1,052,000"
50,"Andreu Fontas
DEFENDER","$1,050,000"
51,"Carlos Gruezo
MIDFIELDER","$1,025,750"
52,"Everton Luiz
MIDFIELDER","$1,000,000"
53,"Michael Mancienne
DEFENDER","$995,676"
54,"Fredy Montero
FORWARD","$968,000"
55,"Lamine Sane
DEFENDER","$950,000"
56,"Alexander Ring
MIDFIELDER","$945,000"
57,"Adama Diomande
FORWARD","$935,000"
58,"Pity Martinez
MIDFIELDER","$900,000"
,"Ilie Sanchez
MIDFIELDER","$900,000"
60,"Jonathan Mensah
DEFENDER","$894,004"
61,"Jan Gregus
MIDFIELDER","$883,500"
62,"Jesus Medina
MIDFIELDER","$870,833"
63,"Reto Ziegler
DEFENDER","$870,000"
64,"Pedro Santos
MIDFIELDER","$864,560"
65,"Joao Plata
FORWARD","$856,254"
66,"Hector Villalba
FORWARD","$830,250"
67,"Leandro Gonzalez Pirez
DEFENDER","$810,008"
68,"Roland Lamah
MIDFIELDER","$806,250"
69,"Alejandro (Kaku) Romero
MIDFIELDER","$800,000"
,"Aaron Long
MIDFIELDER","$800,000"
,"Chris Wondolowski
FORWARD","$800,000"
,"Roger Espinoza
MIDFIELDER","$800,000"
73,"Marcelo Ferreira
DEFENDER","$797,500"
74,"Larrys Mabiala
DEFENDER","$793,333"
75,"Heber
FORWARD","$785,000"
76,"Diego Polenta
DEFENDER","$777,276"
77,"Marcelo Silva
DEFENDER","$776,629"
78,"Jonathan Osorio
MIDFIELDER","$776,250"
79,"Kim Kee-Hee
DEFENDER","$772,000"
80,"Daniel Royer
MIDFIELDER","$768,750"
81,"Tim Parker
DEFENDER","$752,200"
82,"Kei Kamara
FORWARD","$750,000"
83,"Rudy Camacho
DEFENDER","$749,153"
84,"Brad Guzan
GOALKEEPER","$740,004"
85,"Roman Torres
DEFENDER","$740,000"
86,"Yohan Croizet
MIDFIELDER","$730,008"
87,"Giancarlo Gonzalez
DEFENDER","$719,583"
88,"Sam Johnson
FORWARD","$718,750"
89,"Yordy Reyna
MIDFIELDER","$713,140"
90,"Paul Arriola
MIDFIELDER","$707,000"
91,"Bacary Sagna
DEFENDER","$705,000"
92,"Luciano Acosta
MIDFIELDER","$702,000"
93,"Dax McCarty
MIDFIELDER","$700,000"
94,"Osvaldo Alonso
MIDFIELDER","$697,500"
95,"Graham Zusi
MIDFIELDER","$688,333"
96,"Justin Meram
FORWARD","$678,754"
97,"Matt Besler
DEFENDER","$674,998"
98,"Francisco Calvo
DEFENDER","$672,600"
99,"Sergio Santos
FORWARD","$668,500"
100,"Angelo Rodriguez
FORWARD","$667,188"
101,"Christian Ramirez
FORWARD","$666,250"
102,"Darlington Nagbe
MIDFIELDER","$665,500"
103,"Kellyn Acosta
DEFENDER","$665,000"
104,"Alexander Callens
DEFENDER","$664,000"
105,"Chris Mavinga
DEFENDER","$663,333"
106,"Przemyslaw Frankowski
MIDFIELDER","$661,688"
107,"Hwang In-beom
MIDFIELDER","$655,000"
108,"Kendall Waston
DEFENDER","$654,167"
109,"Alberth Elis
FORWARD","$650,340"
110,"Maxime Chanot
DEFENDER","$650,000"
,"Bryan Acosta
MIDFIELDER","$650,000"
112,"Tommy Smith
DEFENDER","$640,000"
113,"Jordan Morris
FORWARD","$619,600"
114,"Jorge Villafaña
DEFENDER","$617,500"
115,"Florian Jungwirth
DEFENDER","$616,675"
116,"Cristian Higuita
MIDFIELDER","$611,663"
117,"Jorge Moreira
DEFENDER","$607,955"
118,"Juan Agudelo
FORWARD","$605,000"
119,"Claude Dielna
DEFENDER","$600,000"
,"Walker Zimmerman
DEFENDER","$600,000"
,"Gustav Svensson
MIDFIELDER","$600,000"
,"Kelvin Leerdam
DEFENDER","$600,000"
123,"Cristian Roldan
MIDFIELDER","$596,542"
124,"Haris Medunjanin
MIDFIELDER","$595,008"
125,"Vito Mannone
GOALKEEPER","$594,000"
126,"Wil Trapp
MIDFIELDER","$593,746"
127,"Santiago Mosquera
MIDFIELDER","$591,400"
128,"Guram Kashia
DEFENDER","$590,000"
129,"Favio Alvarez
MIDFIELDER","$586,250"
130,"Cristian Colman
FORWARD","$585,000"
131,"Wilfried Zahibo
MIDFIELDER","$583,000"
132,"Anton Tinnerholm
DEFENDER","$581,725"
133,"Johan Kappelhof
DEFENDER","$577,833"
134,"Matt Hedges
DEFENDER","$575,008"
135,"Diego Chara
MIDFIELDER","$572,000"
136,"Jamiro Monteiro
MIDFIELDER","$569,200"
137,"Bradley Smith
DEFENDER","$564,365"
138,"Leonardo Jara
DEFENDER","$560,000"
139,"Romell Quioto
FORWARD","$556,501"
140,"Gerso Fernandes
FORWARD","$550,008"
141,"Andre Blake
GOALKEEPER","$550,004"
142,"Steve Birnbaum
DEFENDER","$550,000"
,"Joe Corona
MIDFIELDER","$550,000"
,"Cristian Espinoza
FORWARD","$550,000"
,"Cristian Penilla
FORWARD","$550,000"
146,"Danny Hoeson
FORWARD","$549,667"
147,"Ali Adnan
DEFENDER","$547,333"
148,"Kevin Molino
MIDFIELDER","$546,254"
149,"Romario Ibarra
MIDFIELDER","$546,250"
150,"Danny Wilson
DEFENDER","$540,000"
151,"Lee Nguyen
MIDFIELDER","$530,000"
152,"Joevin Jones
MIDFIELDER","$528,671"
153,"Oriol Rosell
DEFENDER","$522,500"
154,"Zdenek Ondrasek
FORWARD","$522,250"
155,"Bressan
DEFENDER","$521,931"
156,"Darren Mattocks
FORWARD","$520,000"
157,"Nedum Onuoha
DEFENDER","$504,000"
158,"Xavier Arreaga
DEFENDER","$500,850"
159,"Felipe Martins
MIDFIELDER","$500,000"
,"Alexandru Mitrita
FORWARD","$500,000"
,"Michael Barrios
MIDFIELDER","$500,000"
,"Juan Fernando Caicedo
FORWARD","$500,000"
163,"Jefferson Savarino
FORWARD","$498,696"
164,"Anibal Godoy
MIDFIELDER","$498,125"
165,"Leonardo Bertone
MIDFIELDER","$496,667"
166,"Eduard Atuesta
MIDFIELDER","$493,000"
167,"Will Johnson
MIDFIELDER","$491,004"
168,"Luis Robles
GOALKEEPER","$490,000"
169,"Bill Hamid
GOALKEEPER","$487,495"
170,"Jhegson
DEFENDER","$486,750"
171,"C.J. Sapong
FORWARD","$475,000"
172,"Perry Kitchen
DEFENDER","$474,167"
173,"Pablo Aranguiz
MIDFIELDER","$466,667"
174,"Benny Feilhaber
MIDFIELDER","$463,400"
175,"Cesar Ascues
DEFENDER","$451,500"
176,"Josue Colman
MIDFIELDER","$450,000"
,"Magnus Eriksson
FORWARD","$450,000"
178,"Erik Godoy
DEFENDER","$449,318"
179,"Jack Price
MIDFIELDER","$437,500"
180,"Laurent Ciman
DEFENDER","$435,625"
181,"Antonio Mlinar Delamea
DEFENDER","$425,004"
182,"Carlos Uriel Antuna
MIDFIELDER","$420,000"
183,"Romain Metanire
DEFENDER","$411,833"
184,"Artur de Lima Junior
MIDFIELDER","$411,633"
185,"Tomas Conechny
FORWARD","$403,500"
186,"Ethan Finlay
MIDFIELDER","$400,008"
187,"Sean Johnson
GOALKEEPER","$400,000"
,"Ebenezer Ofori
MIDFIELDER","$400,000"
189,"Kekuta Manneh
FORWARD","$391,667"
190,"Nana 'Bismark' Adjei-Boateng
MIDFIELDER","$391,250"
191,"Caleb Stanko
MIDFIELDER","$390,833"
192,"Marcos Lopez
MIDFIELDER","$387,750"
193,"Tomas Martinez
MIDFIELDER","$386,804"
194,"Kemar Lawrence
DEFENDER","$382,750"
195,"Alex Bono
GOALKEEPER","$382,000"
196,"Ismael Tajouri
FORWARD","$380,500"
197,"Marcos Pedroso
DEFENDER","$375,000"
,"Drew Moor
DEFENDER","$375,000"
,"David Bingham
GOALKEEPER","$375,000"
200,"Ike Opara
DEFENDER","$367,917"
201,"Harrison Afful
DEFENDER","$363,800"
202,"David Ousted
GOALKEEPER","$361,136"
203,"Kai Wagner
DEFENDER","$360,150"
204,"Rodney Wallace
MIDFIELDER","$360,000"
,"Gaston Sauro
DEFENDER","$360,000"
206,"Will Bruin
FORWARD","$358,333"
207,"Ilson Pereira Dias Junior
MIDFIELDER","$357,000"
208,"Diego Rubio Kostner
FORWARD","$353,750"
209,"Darwin Ceren
MIDFIELDER","$349,375"
210,"Justen Glad
DEFENDER","$345,000"
211,"Miguel Ibarra
MIDFIELDER","$342,318"
212,"Tim Melia
GOALKEEPER","$341,675"
213,"Marc Rzatkowski
MIDFIELDER","$341,667"
214,"Stefan Frei
GOALKEEPER","$337,500"
215,"Allan Cruz
MIDFIELDER","$333,125"
216,"Justin Morrow
DEFENDER","$330,000"
217,"Przemyslaw Tyton
GOALKEEPER","$328,438"
218,"Sean Davis
MIDFIELDER","$327,500"
219,"Kelyn Rowe
MIDFIELDER","$326,400"
220,"Kyle Beckerman
MIDFIELDER","$325,000"
221,"Florentin Pogba
DEFENDER","$324,000"
222,"Nick Rimando
GOALKEEPER","$322,500"
223,"Milton Valenzuela
DEFENDER","$321,300"
224,"Harold Cummings
DEFENDER","$320,667"
225,"Nicolás Mezquida
MIDFIELDER","$320,000"
,"David Guzman
MIDFIELDER","$320,000"
227,"Michael Boxall
DEFENDER","$317,333"
228,"Sam Nicholson
MIDFIELDER","$313,000"
229,"Sebastian Lletget
MIDFIELDER","$312,667"
230,"Anthony Blondell
FORWARD","$307,703"
231,"Mathias Jorgensen
FORWARD","$306,250"
232,"Judson
MIDFIELDER","$305,000"
233,"Adam Lundkvist
DEFENDER","$303,750"
234,"Rasmus Schuller
MIDFIELDER","$300,004"
235,"Frederic Brillant
DEFENDER","$300,000"
,"Ronald Matarrita
DEFENDER","$300,000"
,"Franco Escobar
DEFENDER","$300,000"
,"Eric Remedi
MIDFIELDER","$300,000"
,"Victor Cabrera
DEFENDER","$300,000"
,"Luis Alberto Caicedo
MIDFIELDER","$300,000"
241,"Lucas Rodriguez
MIDFIELDER","$298,550"
242,"Steven Beitashour
DEFENDER","$298,375"
243,"Botond Barath
DEFENDER","$297,333"
244,"Eriq Zavaleta
FORWARD","$296,962"
245,"Evan Bush
GOALKEEPER","$294,667"
246,"Andrew Farrell
DEFENDER","$294,230"
247,"Juan David Cabezas
MIDFIELDER","$292,008"
248,"Jukka Raitala
DEFENDER","$290,500"
249,"Robin Jansson
DEFENDER","$289,800"
250,"Cristhian Paredes
MIDFIELDER","$283,500"
251,"Emmanuel Ledesma
MIDFIELDER","$280,833"
252,"Kacper Przybylko
FORWARD","$277,000"
253,"Auro
DEFENDER","$276,667"
254,"DaMarcus Beasley
DEFENDER","$275,000"
255,"Valentin Castellanos
MIDFIELDER","$274,806"
256,"Francois Affolter
DEFENDER","$273,000"
257,"Joaquin Ardaiz
FORWARD","$272,727"
258,"Teal Bunbury
FORWARD","$270,750"
259,"Greg Garza
DEFENDER","$270,000"
260,"Jack Elliott
DEFENDER","$265,000"
261,"Joao Pedro
MIDFIELDER","$261,000"
262,"Patrick Mullins
FORWARD","$260,004"
263,"Zack Steffen
GOALKEEPER","$260,000"
264,"Mathieu Deplagne
DEFENDER","$254,400"
265,"A.J. DeLaGarza
DEFENDER","$253,750"
266,"Marco Delgado
MIDFIELDER","$253,000"
267,"Alvas Powell
DEFENDER","$251,625"
268,"Johan Blomberg
MIDFIELDER","$250,962"
269,"Ronaldo Pena
FORWARD","$250,000"
,"Shea Salinas
MIDFIELDER","$250,000"
,"Edgar Castillo
DEFENDER","$250,000"
272,"Russel Canouse
MIDFIELDER","$247,500"
273,"Rolf Feltscher
DEFENDER","$242,650"
274,"Brooks Lennon
MIDFIELDER","$242,587"
275,"Jeremy Ebobisse
FORWARD","$238,000"
,"Jordan Allen
MIDFIELDER","$238,000"
277,"Andrew Tarbell
GOALKEEPER","$235,000"
,"Harrison Shipp
FORWARD","$235,000"
279,"Jesse Gonzalez
GOALKEEPER","$231,500"
280,"Matias Vera
MIDFIELDER","$231,250"
281,"Brek Shea
MIDFIELDER","$225,000"
,"Jeisson Vargas
MIDFIELDER","$225,000"
283,"Kevin Kratz
MIDFIELDER","$222,750"
284,"Pablo Ruiz
MIDFIELDER","$221,004"
285,"Orji Okwonkwo
FORWARD","$220,000"
286,"Nick Lima
DEFENDER","$218,438"
287,"Josh Williams
DEFENDER","$215,000"
288,"Dairon Asprilla
MIDFIELDER","$213,750"
289,"Victor Ulloa
MIDFIELDER","$212,500"
290,"Eddie Segura
DEFENDER","$212,000"
291,"Brandon Servania
MIDFIELDER","$211,000"
292,"Jeff Larentowicz
MIDFIELDER","$210,000"
,"Daniel Vega
GOALKEEPER","$210,000"
294,"Tony Beltran
DEFENDER","$207,000"
295,"Dominique Badji
FORWARD","$206,250"
296,"Diego Fagundez
FORWARD","$205,000"
297,"Doneil Henry
DEFENDER","$204,242"
298,"João Moutinho
DEFENDER","$203,000"
299,"Mohamed El-Munir
DEFENDER","$202,833"
300,"Miles Robinson
DEFENDER","$201,250"
301,"Ben Sweat
DEFENDER","$200,000"
,"Dillon Powers
MIDFIELDER","$200,000"
,"Danilo Silva
DEFENDER","$200,000"
,"Hector Jimenez
MIDFIELDER","$200,000"
305,"Waylon Francis
DEFENDER","$199,167"
306,"Robinho Barbosa
MIDFIELDER","$198,000"
307,"Ema Twumasi
MIDFIELDER","$196,900"
308,"Andy Rose
MIDFIELDER","$192,500"
309,"Bobby Shuttleworth
GOALKEEPER","$191,875"
310,"Fatai Alashe
MIDFIELDER","$190,000"
,"Zak MacMath
GOALKEEPER","$190,000"
,"Russell Teibert
MIDFIELDER","$190,000"
,"Raymon Gaddis
DEFENDER","$190,000"
,"Chris Pontius
FORWARD","$190,000"
,"Jackson Yueill
MIDFIELDER","$190,000"
316,"Mason Toye
FORWARD","$188,000"
317,"Jeff Attinella
GOALKEEPER","$187,250"
318,"Rodolfo Zelaya
FORWARD","$185,833"
319,"Emmanuel Boateng
FORWARD","$185,000"
320,"Nicolas Hasler
DEFENDER","$183,667"
321,"Oscar Boniek Garcia
MIDFIELDER","$183,000"
